date,content,reliability,clean_content
2020-04-27,"Tap youth talent to tackle COVID-19 crisis and beyond, UN chief tells Security Council",1,tap youth talent tackl covid crisi beyond un chief tell secur council
2020-04-27,Embraer takes Boeing to arbitration over failed deal as shares plummet,1,embraer take boe arbitr fail deal share plummet
2020-04-26,Nigeria's governors seek to make face masks compulsory in public,1,nigeria governor seek make face mask compulsori public
2020-04-26,White House considering replacing HHS chief Azar: reports,1,white hous consid replac hh chief azar report
2020-04-23,Tom Hanks sends typewriter to bullied Australian boy named Corona,1,tom hank send typewrit bulli australian boy name corona
2020-04-22,Germany approves first trial of COVID-19 vaccine candidate,1,germani approv first trial covid vaccin candid
2020-04-22,"Number of coronavirus cases in Poland exceeds 10,000",1,number coronaviru case poland exce
2020-04-20,"Generalized anxiety disorder, depressive symptoms and sleep quality during COVID-19 epidemic in China: a web-based cross-sectional survey: COVID-19/SARS-CoV-2 News from Preprints",1,gener anxieti disord depress symptom sleep qualiti covid epidem china web base cross section survey covid sar cov 2 new preprint
2020-04-17,'We all stay home': no work and no stimulus checks for undocumented family in U.S.,1,we stay home work stimulu check undocu famili u s
2020-04-17,UK's Prince William and Kate say: look after mental health in coronavirus crisis,1,uk princ william kate say look mental health coronaviru crisi
2020-04-15,Sweden's Clas Ohlson says sales reflect people staying more at home,1,sweden cla ohlson say sale reflect peopl stay home
2020-04-15,India permits resumption of some industries in rural areas from April 20,1,india permit resumpt industri rural area april
2020-04-10,He smiled to comfort his COVID-19 patient - then he realized his mask was leaking,1,he smile comfort covid patient realiz mask leak
2020-04-10,"Table tennis: Man v Machine, India's Sathiyan training with robot",1,tabl tenni man v machin india sathiyan train robot
2020-04-10,"Helicopters, fines in Australia's Easter travel crackdown against coronavirus",1,helicopt fine australia easter travel crackdown coronaviru
2020-04-09,New York City hires laborers to bury dead in Hart Island potter's field amid coronavirus surge,1,new york citi hire labor buri dead hart island potter field amid coronaviru surg
2020-04-08,Anaesthetic machines: off-label use during the COVID-19 pandemic (MDA/2020/012),1,anaesthet machin label use covid pandem mda
2020-04-07,Your Money: Make a big impact with your COVID-19 charity dollars,1,your money make big impact covid chariti dollar
2020-04-06,Allstate to return $600 million in auto premiums to customers as pandemic cuts driving,1,allstat return million auto premium custom pandem cut drive
2020-07-29,Extra university places for vital courses announced,1,extra univers place vital cours announc
2020-07-29,Belarus seeks Russian explanation after detaining alleged mercenaries before election,1,belaru seek russian explan detain alleg mercenari elect
2020-07-29,"Desperate Times, Desperate Measures: The Case for RRx-001 in the Treatment of COVID-19",1,desper time desper measur the case rrx treatment covid
2020-07-28,Twitter puts curbs on Donald Trump Jr's account over COVID-19 tweet,1,twitter put curb donald trump jr account covid tweet
2020-07-22,"Archer reveals racist abuse, mental fragility after test ban",1,archer reveal racist abus mental fragil test ban
2020-07-20,Disabled People’s Organisations (DPOs) forum launches this month,1,disabl peopl organis dpo forum launch month
2020-07-15,UPDATE 1-Homebuilder McCarthy & Stone racks up loss as completions fall 44%,1,updat 1 homebuild mccarthi stone rack loss complet fall
2020-07-14,Tokyo enlists nightclub workers for Q&A-style videos to fight coronavirus,1,tokyo enlist nightclub worker qa style video fight coronaviru
2020-07-13,"Researchers at University College London (UCL) Report Findings in COVID-19 (Black, Asian and Minority Ethnic groups in England are at increased risk of death from COVID-19: indirect standardisation of NHS mortality data): Coronavirus - COVID-19",1,research univers colleg london ucl report find covid black asian minor ethnic group england increas risk death covid indirect standardis nh mortal data coronaviru covid
2020-07-13,"Learners today, leaders tomorrow",1,learner today leader tomorrow
2020-07-10,Scientists focus on how immune system T cells fight coronavirus in absence of antibodies,1,scientist focu immun system t cell fight coronaviru absenc antibodi
2020-07-08,Stuart Broad dropped as England bat vs West Indies,1,stuart broad drop england bat v west indi
2020-07-07,Turkey says it detains 276 migrants in smuggling operation,1,turkey say detain migrant smuggl oper
2020-07-02,Lithuania dabbles in crypto-coin as cbanks look for ways to fend off Facebook,1,lithuania dabbl crypto coin cbank look way fend facebook
2020-06-17,Attendance in education and early years settings during the coronavirus (COVID-19) outbreak - 23 March to 18 June 2020,1,attend educ earli year set coronaviru covid outbreak march june
2020-06-14,Djokovic breaks down in tears after hosting Belgrade exhibition,1,djokov break tear host belgrad exhibit
2020-06-14,"On this day: Born June 15, 1992 - Mohamed Salah, Egyptian footballer",1,on day born june moham salah egyptian footbal
2020-06-10,Cross-border European TV merger would make little sense - ProSieben CEO,1,cross border european tv merger would make littl sens prosieben ceo
2020-06-08,"Samsung leader appears in court, awaits decision on whether he'll be jailed again",1,samsung leader appear court await decis whether jail
2020-06-04,Virginia governor orders removal of statue of Civil War General Lee,1,virginia governor order remov statu civil war gener lee
2020-06-03,Lesotho former first lady arrested in murder case,1,lesotho former first ladi arrest murder case
2020-06-02,"Black and Asian people in England more likely to die from COVID-19, says report",1,black asian peopl england like die covid say report
2020-06-01,Fires burn near White House in violent protests,1,fire burn near white hous violent protest
2020-02-08, Coronavirus has been found in broiler chicken.		,0,coronaviru found broiler chicken
2020-02-10, Coronavirus is found in broiler chicken.		,0,coronaviru found broiler chicken
2020-02-10, There is a case of coronavirus in Caserta.		,0,there case coronaviru caserta
2020-02-10, There is a case of coronavirus in Andorra.		,0,there case coronaviru andorra
2020-02-10, A person with coronavirus is in Andorra on 2/10/20.		,0,a person coronaviru andorra 2
2020-02-12, Germans quarantined in La Gomera by the coronavirus leave home isolation without permission.		,0,german quarantin la gomera coronaviru leav home isol without permiss
2020-02-17, Black skin is resistant to coronavirus.		,0,black skin resist coronaviru
2020-02-18, Popping bubble wrap exposes people to coronavirus.		,0,pop bubbl wrap expos peopl coronaviru
2020-02-19, World labs confirm coronavirus was bioengineered.		,0,world lab confirm coronaviru bioengin
2020-02-21," Six coronavirus cases confirmed in Wichita, Kansas.		",0,six coronaviru case confirm wichita kansa
2020-02-24, A Chinese SWAT Team takes down a coronavirus suspect		,0,a chines swat team take coronaviru suspect
2020-02-24," There are two coronavirus cases in Bovalino (Reggio Calabria, Italy).		",0,there two coronaviru case bovalino reggio calabria itali
2020-02-25, Coronavirus was found in horses.		,0,coronaviru found hors
2020-02-25, China needs coronavirus SWAT (special weapons and tactics) police teams to arrest this coronavirus victim.		,0,china need coronaviru swat special weapon tactic polic team arrest coronaviru victim
2020-02-25," In Poland, people who are not insured have to pay for coronavirus testing, so if they can't afford it, they will spread it.		",0,in poland peopl insur pay coronaviru test cannot afford spread
2020-02-26, Face masks are a good protection against the coronavirus.		,0,face mask good protect coronaviru
2020-02-26, School has been suspended in Catalonia until 3/2/20.		,0,school suspend catalonia 3 2
2020-02-26," Two cases are confirmed of coronavirus in Huelva, Andalucia (2/26/20)		",0,two case confirm coronaviru huelva andalucia 2
2020-02-27, The WHO says the coronavirus might be spread by food.		,0,the who say coronaviru might spread food
2020-02-27," ""The blood test for coronavirus costs $3,200.""Â		",0,the blood test coronaviru cost 3 â
2020-02-28, COVID-19 is just a big flu.		,0,covid big flu
2020-02-28, Coronavirus patients in China are caught by officials on a highway.		,0,coronaviru patient china caught offici highway
2020-02-28, Election years in the United States coincide with major disease outbreaks.		,0,elect year unit state coincid major diseas outbreak
2020-02-28," A ""poll finds 38% of Americans say they will not drink Corona beer because of the virus.""Â		",0,a poll find american say drink corona beer viru â
2020-02-29, Pangolin is the original cause of COVID-19.		,0,pangolin origin caus covid
2020-03-01," ""Florida hospital reports a coronavirus 'infestation' with multiple confirmed patients.""Â		",0,florida hospit report coronaviru infest multipl confirm patient â
2020-03-01," ""Shands Hospital of Gainesville, Florida, has confirmed its first case of coronavirus.""Â		",0,shand hospit gainesvil florida confirm first case coronaviru â
2020-03-02," Man critical with novel coronavirus in Barhalganj, India.		",0,man critic novel coronaviru barhalganj india
2020-03-03, Ads are selling masks protecting against COVID-19.		,0,ad sell mask protect covid
2020-03-03, A bovine vaccine can be used to inoculate people against coronavirus.		,0,a bovin vaccin use inocul peopl coronaviru
2020-03-04, Rapper Eminem contacted coronavirus.		,0,rapper eminem contact coronaviru
2020-03-04, The first coronavirus case in North Macedonia was a well-known fashion designer.		,0,the first coronaviru case north macedonia well known fashion design
2020-03-05, Does France underestimate the outbreak?		,0,doe franc underestim outbreak
2020-03-05, Article says that the Vatican confirmed that the Pope and two assistants have coronavirus.		,0,articl say vatican confirm pope two assist coronaviru
2020-03-05, No work in several regions of Spain due to coronavirus.		,0,no work sever region spain due coronaviru
2020-03-05, Novel coronavirus has a 99.7% survival rate.		,0,novel coronaviru 7 surviv rate
2020-03-05," The coronavirus test costs $3,200.		",0,the coronaviru test cost 3
2020-03-06, 38 % of Americans won't buy Corona beer due to the coronavirus.		,0,american buy corona beer due coronaviru
2020-03-06, Pope Francis contacted coronavirus.		,0,pope franci contact coronaviru
2020-03-06," Bloggers say Nancy Pelosi delayed coronavirus funding so ""Dems could campaign on it.""Â		",0,blogger say nanci pelosi delay coronaviru fund dem could campaign â
2020-03-07, People can't use the right of withdrawal at work because of the outbreak.		,0,peopl cannot use right withdraw work outbreak
2020-03-07, Did the coronavirus mutate and became more aggressive?		,0,did coronaviru mutat becam aggress
2020-03-07, Coronavirus patients are being caught on highways in China.		,0,coronaviru patient caught highway china
2020-03-07," As of 3/7/20, Tanzania and Zambia had confirmed fist cases of the new coronavirus.		",0,as 3 7 tanzania zambia confirm fist case new coronaviru
2020-03-08, 5G is accelerating the spread of the new coronavirus.		,0,5g acceler spread new coronaviru
2020-03-08, States are imposing mandatory leave and statewise school closures due to coronavirus.		,0,state impos mandatori leav statewis school closur due coronaviru
2020-03-09, Hundreds of Italian families are running away from the virus to Africa.		,0,hundr italian famili run away viru africa
2020-03-09, The bill for a coronavirus test in the US is 3.000$.		,0,the bill coronaviru test us 3
2020-03-09, This Lysol disinfectant against coronavirus shows the virus is not new.		,0,thi lysol disinfect coronaviru show viru new
2020-03-09, A doctor named Lupita Yamamoto Lupercio found the coronavirus vaccine.		,0,a doctor name lupita yamamoto lupercio found coronaviru vaccin
2020-03-09," Says 80% of novel coronavirus cases are ""mild.""Â		",0,say novel coronaviru case mild â
2020-03-09," Hand sanitizer will ""do nothing for the coronavirus.""Â		",0,hand sanit noth coronaviru â
2020-03-09," ""Coronavirus?  22. Clintons?  39.""Â		",0,coronaviru clinton â
2020-03-10," The head of Coordinated Emergences, Fernando Simon, has said that is better to get coronavirus now, because later there will be no space in hospitals.		",0,the head coordin emerg fernando simon said better get coronaviru later space hospit
2020-03-10, A coronavirus vaccine for cows shows that the virus behind the current outbreak is not new.		,0,a coronaviru vaccin cow show viru behind current outbreak new
2020-03-11, Retirement benefits reduced by 50% in April in Italy.		,0,retir benefit reduc april itali
2020-03-11, Seven ambulance workers are infected with coronavirus in Catalonia.		,0,seven ambul worker infect coronaviru catalonia
2020-03-11, Coronavirus found in toilet paper.		,0,coronaviru found toilet paper
2020-03-12," A worker at the Prince hotel in Mehdipatnam (Hyderbad, India) has tested positive for coronavirus.		",0,a worker princ hotel mehdipatnam hyderbad india test posit coronaviru
2020-03-12, Tuit reports that Brazilian president Jair Bolsonaro has tested positive for the coronavirus.		,0,tuit report brazilian presid jair bolsonaro test posit coronaviru
2020-03-12, Spain ex-King Juan Carlos I has the coronavirus.		,0,spain ex king juan carlo i coronaviru
2020-03-12," Live stream about the infected foreigners coming to Ukraine from Italy, which went viral.		",0,live stream infect foreign come ukrain itali went viral
2020-03-12, Of the Trump administration's European travel restrictions that exempt the U.K.,0,of trump administr european travel restrict exempt u k
2020-03-12, The U.S. presidential election is canceled due to coronavirus.		,0,the u s presidenti elect cancel due coronaviru
2020-03-12," If you donate blood, ""they HAVE to test you""Â for coronavirus.		",0,if donat blood have test â coronaviru
2020-03-12," ""The CDC can detain anyone with a fever indefinitely. Vaccination (is) a way people could get out of detention.""Â		",0,the cdc detain anyon fever indefinit vaccin way peopl could get detent â
2020-03-13, The coronavirus outbreak is over in China.		,0,the coronaviru outbreak china
2020-03-13, People are panicked about a COVID-19 case at the Dakar Airport.		,0,peopl panick covid case dakar airport
2020-03-13, COVID-19 Breeds Rapidly In Toilet Paper.		,0,covid breed rapidli in toilet paper
2020-03-13, The health service in Ireland is asking people to stockpile food.		,0,the health servic ireland ask peopl stockpil food
2020-03-13, Sex helps prevent coronavirus.		,0,sex help prevent coronaviru
2020-03-13," A misleading chart being spread on Facebook, erroneously dubbing the new coronavirus the ""least deadly virus.""Â		",0,a mislead chart spread facebook erron dub new coronaviru least deadli viru â
2020-03-13, Man did pass along coronavirus infection at a WalMart in Louisiana.		,0,man pa along coronaviru infect walmart louisiana
2020-03-13, NYC did implement a citywide quarantine.		,0,nyc implement citywid quarantin
2020-03-13," In South Florida ""all children and adults must remain in their homes""Â due to coronavirus.		",0,in south florida child adult must remain home â due coronaviru
2020-03-13," Says The New York Times exposed the ""real reason behind coronavirus hype",0,say the new york time expos real reason behind coronaviru hype
2020-03-14, Ireland is going into a full lockdown.		,0,ireland go full lockdown
2020-03-14, Catalonia universities give all course credits to its students after classes being suspended.		,0,catalonia univers give cours credit student class suspend
2020-03-14, CEO Resignations Are Linked To Global Conspiracy.		,0,ceo resign are link to global conspiraci
2020-03-14, Coronavirus is found in crab legs.		,0,coronaviru found crab leg
2020-03-14, Article overstates threat of coronavirus.		,0,articl overst threat coronaviru
2020-03-15, Dettol is an effective disinfectant for COVID-19.		,0,dettol effect disinfect covid
2020-03-15, Quarantine may last for several years.		,0,quarantin may last sever year
2020-03-15, Pandemics happen every 100 years.		,0,pandem happen everi year
2020-03-15, The quarantine will last until the end of May in Ukraine.		,0,the quarantin last end may ukrain
2020-03-15," ""So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.""Â		",0,so oscar health compani tap trump profit covid test kushner compani imagin profit nation safeti â
2020-03-15, The novel coronavirus is not new.		,0,the novel coronaviru new
2020-03-16, An official decree taken by the government says the military will have to help in the hospitals.		,0,an offici decre taken govern say militari help hospit
2020-03-16, Dallas student celebrating spring break collapses from coronavirus.		,0,dalla student celebr spring break collaps coronaviru
2020-03-16, Coronavirus is the least deadly virus.		,0,coronaviru least deadli viru
2020-03-16, CDC warns people that morel mushroom increases coronavirus risk by 200%.		,0,cdc warn peopl morel mushroom increas coronaviru risk
2020-03-17, The military is coming to Paris because of the coronavirus.		,0,the militari come pari coronaviru
2020-03-17, Another rumor claims the military is coming to Paris because of the coronavirus.		,0,anoth rumor claim militari come pari coronaviru
2020-03-17, Although Germany closes its borders refugees and migrants may still come in and they will not be medically checked for coronavirus.		,0,although germani close border refuge migrant may still come medic check coronaviru
2020-03-17, The internet will collapse globally due to the new coronavirus outbreak.		,0,the internet collaps global due new coronaviru outbreak
2020-03-17, Here are the measures that Mercadona will implement due to the coronavirus crisis.		,0,here measur mercadona implement due coronaviru crisi
2020-03-17," In Ukraine, utility bills are deferred for two months due to the quarantine.		",0,in ukrain util bill defer two month due quarantin
2020-03-17," The WHO coronavirus test ""was a bad test.""Â		",0,the who coronaviru test bad test â
2020-03-18, With self-checkup you can find out if you are infected with coronavirus.		,0,with self checkup find infect coronaviru
2020-03-18, Countries that are the most affected by the coronavirus are along the same latitude.		,0,countri affect coronaviru along latitud
2020-03-18, There is a Russian medicine that could be use against Sars-Cov-2.		,0,there russian medicin could use sar cov 2
2020-03-18, Trump Is Promising To Send Americans Checks - Only After Checking People's Social Media History.		,0,trump is promis to send american check onli after check peopl social media histori
2020-03-18," If we want to protect ourselves from the coronavirus, we must back away from all the climate change efforts we've been making.		",0,if want protect coronaviru must back away climat chang effort make
2020-03-18, These at-home coronavirus testing kits are real.		,0,these home coronaviru test kit real
2020-03-19, India asked for restriction of movement.		,0,india ask restrict movement
2020-03-19," Press Release on movement restriction for COVID-19 outbreak by National Security Council, PMO (India).		",0,press releas movement restrict covid outbreak nation secur council pmo india
2020-03-19," The parks of Adra, in Spain, are being fumigated with poison.		",0,the park adra spain fumig poison
2020-03-19, The quarantine will last until the end of May in Ukraine.		,0,the quarantin last end may ukrain
2020-03-19, Biden claims that Trump eliminated the White House pandemic office.		,0,biden claim trump elimin white hous pandem offic
2020-03-19, Walmart is closing hundreds of its stores.		,0,walmart close hundr store
2020-03-20," 1720, 1919, 2020... Every hundred years, a pandemia ""cleans""Â the Earth.		",0,everi hundr year pandemia clean â earth
2020-03-20," People shouting ""Allahu Akbar""Â in Europe after the coronavirus outbreak.		",0,peopl shout allahu akbar â europ coronaviru outbreak
2020-03-20, Romania has changed the law so that those who break the quarantine will face 15 years in prison.		,0,romania chang law break quarantin face year prison
2020-03-20, Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.		,0,say truck driver turn away fast food restaur covid pandem
2020-03-20," ""Wisconsin is the only state where all Republicans voted against protecting its citizens.""Â		",0,wisconsin state republican vote protect citizen â
2020-03-20," The coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.		",0,the coronaviru aid relief econom secur act give member congress pay increas
2020-03-21," Stocks of ""medical masks""Â made in Woippy, in Moselle, by a company are being blocked for lack of ""agreement of the government,""Â in spite of a shortage of masks in France.		",0,stock medic mask â made woippi mosel compani block lack agreement govern â spite shortag mask franc
2020-03-21, Sophie Trudeau is sharing her COVID-19 experience.		,0,sophi trudeau share covid experi
2020-03-21," ""Only India can resist coronavirus""Â?  Saudi Crown Prince Mohammad Bin Salman.		",0,onli india resist coronaviru â saudi crown princ mohammad bin salman
2020-03-21, This is a self-check test for coronavirus.		,0,thi self check test coronaviru
2020-03-21, The King of Spain has plagiarized his COVID-19 speech from a book.		,0,the king spain plagiar covid speech book
2020-03-21, The schools in Bizkaia in Spain do not close until September.		,0,the school bizkaia spain close septemb
2020-03-21, There are more than 6 000 coronavirus infections in Ukraine. The government hides the real numbers.		,0,there 6 coronaviru infect ukrain the govern hide real number
2020-03-21," If people violate the quarantine measures in Ukraine, they will be imprisoned.		",0,if peopl violat quarantin measur ukrain imprison
2020-03-21, Bill Gates and the Vatican have a plan to depopulate the world with a coronavirus vaccine.		,0,bill gate vatican plan depopul world coronaviru vaccin
2020-03-21, Joe Biden tested positive for coronavirus.		,0,joe biden test posit coronaviru
2020-03-21, Coronavirus cases linked to 5G rollout.		,0,coronaviru case link 5g rollout
2020-03-21, Fill out a 2020 U.S. Census form to receive an economic stimulus payment.		,0,fill u s censu form receiv econom stimulu payment
2020-03-21," Biden campaign claims a top CDC official was ""silenced.""Â		",0,biden campaign claim top cdc offici silenc â
2020-03-22, US military brought the virus to Wuhan on October 2019.		,0,us militari brought viru wuhan octob
2020-03-22, Turkey helped Italy with 200.000 masks and other equipment but nobody took notice.		,0,turkey help itali mask equip nobodi took notic
2020-03-22, Clapping together at 5 p.m. will create a vibration which will destroy coronavirus.		,0,clap togeth 5 p creat vibrat destroy coronaviru
2020-03-22, Initial lack of evidence for human-to-human COVID-19 transmission unusual.		,0,initi lack evid human human covid transmiss unusu
2020-03-22," ""Go to 2020census.gov and fill out this census form so you can get your stimulus check.""Â		",0,go censu gov fill censu form get stimulu check â
2020-03-23," Tests results, theft, ban",0,test result theft ban
2020-03-23, Will lockdown cause a shortage of banknotes in ATMs?		,0,will lockdown caus shortag banknot atm
2020-03-23, COVID-19 patients will not show symptoms for the first 14 days.		,0,covid patient show symptom first day
2020-03-23,"After 23:30, the city will be disinfected by a helicopter and the doors and windows should be closed.",0,after citi disinfect helicopt door window close
2020-03-23, False offer of free Internet during 60 days due to the quarantine.		,0,fals offer free internet day due quarantin
2020-03-23, Whether 60 Democrats voted against coronavirus stimulus bill.		,0,whether democrat vote coronaviru stimulu bill
2020-03-24," In Hong Kong, people destroyed a 5G pole because of coronavirus.		",0,in hong kong peopl destroy 5g pole coronaviru
2020-03-24, Reserve Bank of India (RBI) extended the year closing until 6/30/20.		,0,reserv bank india rbi extend year close 6
2020-03-24," In India starting 3/24/20, all grocery, chemists and vegetable shops will be open from 9.00 am to 11.30 am and 4.30 pm to 7.00 pm. Anybody found moving around after this or opening any kind of outlet will be detained by the police. No home deliveries will be available.		",0,in india start 3 groceri chemist veget shop open 9 4 pm 7 pm anybodi found move around open kind outlet detain polic no home deliveri avail
2020-03-24," A tank circulates through the streets of Tudela, Navarre, Spain, to combat COVID-19.		",0,a tank circul street tudela navarr spain combat covid
2020-03-24," A claim that the Swedish hospitals were going to start using ""death forms""Â to decide which patients to treat and which to send home to die without healthcare.		",0,a claim swedish hospit go start use death form â decid patient treat send home die without healthcar
2020-03-24, The names of coronavirus victims have been published online in media.		,0,the name coronaviru victim publish onlin medium
2020-03-25, A COVID-19 test in Germany is 37 times cheaper than in Croatia.		,0,a covid test germani time cheaper croatia
2020-03-25," In France, the state pays 46 billions a year for its army, but only 1 billion for its inhabitants' health.		",0,in franc state pay billion year armi 1 billion inhabit health
2020-03-25, The internet can crash because of a lockdown.		,0,the internet crash lockdown
2020-03-25," Russia helped Italy which was left alone by its ""partners""Â during the coronavirus crisis.		",0,russia help itali left alon partner â coronaviru crisi
2020-03-25, Ireland is in the first phase of a lockdown sequence.		,0,ireland first phase lockdown sequenc
2020-03-25, COVID-19 is a secret American weapon aimed for depopulation purposes.		,0,covid secret american weapon aim depopul purpos
2020-03-25, The University of Barcelona will approve its students if classes are suspended for more than a month.		,0,the univers barcelona approv student class suspend month
2020-03-25, Leave objects in the sun to avoid contracting the coronavirus.		,0,leav object sun avoid contract coronaviru
2020-03-25," ""if your child gets this virus, they're going to the hospital alone in a van with people they don't know, to be with people they don't know. You will be at home without them in their time of need.""Â		",0,child get viru go hospit alon van peopl know peopl know you home without time need â
2020-03-25, There has been a pandemic every 100 years		,0,there pandem everi year
2020-03-26, Decathlon's snorkeling masks are used in hospitals to help patients' breathing.		,0,decathlon snorkel mask use hospit help patient breath
2020-03-26, There is no space in the hospitals in Italy because people are crowding outside.		,0,there space hospit itali peopl crowd outsid
