date,content,reliability,clean_content
2020-02-26,Facebook to ban misleading ads about coronavirus,1,facebook ban mislead ad coronaviru
2020-02-21,"Lebanon confirms first case of coronavirus, two more suspected",1,lebanon confirm first case coronaviru two suspect
2020-02-14,Solo lunches and masks: Chinese returning to work grapple with coronavirus,1,solo lunch mask chines return work grappl coronaviru
2020-02-10,Tottenham's Alli apologises for coronavirus video,1,tottenham alli apologis coronaviru video
2020-02-03,"Huawei, Chinese chip makers keep factories humming despite coronavirus outbreak",1,huawei chines chip maker keep factori hum despit coronaviru outbreak
2020-01-27,Factbox: What is known about the new coronavirus,1,factbox what known new coronaviru
2020-05-27,"The COVID-19 evacuation wasn’t Harvard’s first, explain historians",1,the covid evacu harvard first explain historian
2020-05-26,Covid-19 tests within 24 hours for symptomatic Bavarians - state premier,1,covid test within hour symptomat bavarian state premier
2020-05-24,French coronavirus cases see lowest 24-hour increase since lockdown,1,french coronaviru case see lowest hour increas sinc lockdown
2020-05-22,CDC Releases Recommendations for Communities of Faith,1,cdc releas recommend commun faith
2020-05-21,Rare child syndrome linked to COVID-19 now in 13 countries: New York governor,1,rare child syndrom link covid countri new york governor
2020-05-20,"Vaccines can protect against COVID-19 in animal models, study says",1,vaccin protect covid anim model studi say
2020-05-18,First COVID-19 vaccine tested in the U.S. shows promise in data from eight people,1,first covid vaccin test u s show promis data eight peopl
2020-05-16,"Russia reports 9,200 new coronavirus infections",1,russia report 9 new coronaviru infect
2020-05-14,Trio of African American professionals create children’s book about COVID-19,1,trio african american profession creat child book covid
2020-05-12,"Ryanair to recommend face masks on board, ban toilet queues",1,ryanair recommend face mask board ban toilet queue
2020-05-09,Australia's biggest states hold off relaxing COVID-19 lockdowns,1,australia biggest state hold relax covid lockdown
2020-05-07,Clamping down on risk of unsafe PPE,1,clamp risk unsaf ppe
2020-05-06,Coronavirus spreads among Indian police enforcing world's largest lockdown,1,coronaviru spread among indian polic enforc world largest lockdown
2020-05-05,"NY's Cuomo starts 'Wear a Mask!' ad contest, credits daughter",1,ny cuomo start wear mask ad contest credit daughter
2020-05-05,"Peru's president confirms coronavirus caseload now over 50,000",1,peru presid confirm coronaviru caseload
2020-05-04,Goat and pawpaw 'test positive' for COVID-19 in Tanzania | Reuters Video,1,goat pawpaw test posit covid tanzania reuter video
2020-04-29,"Barclays CEO says 'putting 7,000 people in a building may be thing of the past'",1,barclay ceo say put 7 peopl build may thing past
2020-04-28,Eat safe: The takeaway on takeout (and other food),1,eat safe the takeaway takeout food
2020-04-28,"Ohio to vote, largely by mail, in primary delayed by COVID-19",1,ohio vote larg mail primari delay covid
2020-04-28,"China lab rejects COVID-19 conspiracy claims, but virus origins still a mystery",1,china lab reject covid conspiraci claim viru origin still mysteri
2020-04-27,7 tips for going outside safely with your children during the COVID-19 pandemic,1,7 tip go outsid safe child covid pandem
2020-04-27,"Hungarian couple recreate scenes from 'Game of Thrones', 'Ghost' during lockdown",1,hungarian coupl recreat scene game throne ghost lockdown
2020-04-27,House Speaker Nancy Pelosi endorses Joe Biden for president,1,hous speaker nanci pelosi endors joe biden presid
2020-04-26,Italy picks firm Abbott Laboratories to supply coronavirus blood tests,1,itali pick firm abbott laboratori suppli coronaviru blood test
2020-04-25,"In coronavirus pandemic, do your part by staying healthy. Here's what doctors recommend",1,in coronaviru pandem part stay healthi here doctor recommend
2020-04-23,Coronavirus hospital admissions in Ireland fall 60% in three weeks -minister,1,coronaviru hospit admiss ireland fall three week minist
2020-04-23,Tom Hanks sends typewriter to bullied Australian boy named Corona,1,tom hank send typewrit bulli australian boy name corona
2020-04-22,Storing treated sewage sludge you cannot move because of COVID-19 restrictions: RPS C6,1,store treat sewag sludg cannot move covid restrict rp c6
2020-04-20,Students’ video goodbyes show the love and strength of Bruin family,1,student video goodby show love strength bruin famili
2020-04-19,Beauty in radishes: Parisian tells lockdown story in watercolor,1,beauti radish parisian tell lockdown stori watercolor
2020-04-17,GM dispatches first batch of ventilators for COVID-19 patients,1,gm dispatch first batch ventil covid patient
2020-04-16,Statistics at Defra,1,statist defra
2020-04-15,Poor Kenyans despair as coronavirus quarantine extended over unpaid bills,1,poor kenyan despair coronaviru quarantin extend unpaid bill
2020-04-11,Frodeno completes home Ironman triathlon for charity,1,frodeno complet home ironman triathlon chariti
2020-04-10,He smiled to comfort his COVID-19 patient - then he realized his mask was leaking,1,he smile comfort covid patient realiz mask leak
2020-04-10,"Outbid and left hanging, states scramble for ventilators",1,outbid left hang state scrambl ventil
2020-04-07,Your Money: Make a big impact with your COVID-19 charity dollars,1,your money make big impact covid chariti dollar
2020-07-29,Spain's Santander books record $13 billion loss on COVID-19 impairments,1,spain santand book record billion loss covid impair
2020-07-27,Equine owners urged to microchip horses ahead of 1st October deadline,1,equin owner urg microchip hors ahead 1st octob deadlin
2020-07-24,DCMS-sponsored museums and galleries statistics,1,dcm sponsor museum galleri statist
2020-07-12,"Aishwarya Rai Bachchan coronavirus-positive, joining father-in-law, husband",1,aishwarya rai bachchan coronaviru posit join father law husband
2020-07-07,Free ambulance helps save mothers and babies in Kenya lockdown,1,free ambul help save mother babi kenya lockdown
2020-07-03,Health experts cast doubt on India's timeline for COVID vaccine,1,health expert cast doubt india timelin covid vaccin
2020-07-01,COVID-19: exceedances in Leicester,1,covid exceed leicest
2020-07-01,Germany for now has enough remdesivir for COVID-19 therapy: government,1,germani enough remdesivir covid therapi govern
2020-06-25,Hawaii to implement pre-arrival COVID-19 test option as quarantine alternative,1,hawaii implement pre arriv covid test option quarantin altern
2020-06-17,Honduran president says he is infected with coronavirus,1,honduran presid say infect coronaviru
2020-06-10,Indian firm Panacea says aiming to make COVID-19 vaccine,1,indian firm panacea say aim make covid vaccin
2020-06-04,Controlling plasma and plasma turbulence,1,control plasma plasma turbul
2020-06-02,Around 7.3 million people in Germany on reduced hours over pandemic: Ifo,1,around 7 3 million peopl germani reduc hour pandem ifo
2020-02-27, French far right leader Marine Le Pen says the EU didn't act against the outbreak		,0,french far right leader marin le pen say eu act outbreak
2020-02-28, Barcelona's council issued a notification of a new focus in two neighborhoods.		,0,barcelona council issu notif new focu two neighborhood
2020-02-29, Russia announces the closure of airspace and suspends all incoming and outgoing flights to China.		,0,russia announc closur airspac suspend incom outgo flight china
2020-03-09, UNICEF advises a certain set of steps to follow for coronavirus.		,0,unicef advis certain set step follow coronaviru
2020-03-11, Retirement benefits reduced by 50% in April in Italy.		,0,retir benefit reduc april itali
2020-03-12, Airports and train stations in Lithuania are being closed down.		,0,airport train station lithuania close
2020-03-12, Of the Trump administration's European travel restrictions that exempt the U.K.,0,of trump administr european travel restrict exempt u k
2020-03-13," Says The New York Times exposed the ""real reason behind coronavirus hype",0,say the new york time expos real reason behind coronaviru hype
2020-03-14, 37.000 US soldiers are entering the EU while everybody is busy with the coronavirus; the soldiers are immune.		,0,us soldier enter eu everybodi busi coronaviru soldier immun
2020-03-15," ""So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.""Â		",0,so oscar health compani tap trump profit covid test kushner compani imagin profit nation safeti â
2020-03-17," Says it was ""unquestionably""Â not within his ""legal authority""Â to postpone Illinois' primary election by changing the date or shifting to vote-by-mail.		",0,say unquestion â within legal author â postpon illinoi primari elect chang date shift vote mail
2020-03-20, Coronavirus fears in Germany result in large crowds outside the supermarket.		,0,coronaviru fear germani result larg crowd outsid supermarket
2020-03-20, Fox News won Pulitzer for coronavirus coverage.		,0,fox new pulitz coronaviru coverag
2020-03-21, Fill out a 2020 U.S. Census form to receive an economic stimulus payment.		,0,fill u s censu form receiv econom stimulu payment
2020-03-22," ""Go to 2020census.gov and fill out this census form so you can get your stimulus check.""Â		",0,go censu gov fill censu form get stimulu check â
2020-03-23," Tests results, theft, ban",0,test result theft ban
2020-03-23,"After 23:30, the city will be disinfected by a helicopter and the doors and windows should be closed.",0,after citi disinfect helicopt door window close
2020-03-24," Says Nancy Pelosi's coronavirus bill includes ""tax credits for solar and wind energy ... retirement plans for community newspaper employees ... $300 million for PBS ... climate change studies""Â and more.		",0,say nanci pelosi coronaviru bill includ tax credit solar wind energi retir plan commun newspap employe million pb climat chang studi â
2020-03-25, A COVID-19 test in Germany is 37 times cheaper than in Croatia.		,0,a covid test germani time cheaper croatia
2020-03-27, Fire triggered by gas tanker leak near Delhi's Shahdara Mor.		,0,fire trigger ga tanker leak near delhi shahdara mor
2020-03-27, NY banned cigarette sales because of the coronavirus.		,0,ny ban cigarett sale coronaviru
2020-03-30, Says certain states are banning the sale of alcohol.		,0,say certain state ban sale alcohol
2020-03-30," World Economic Forum is a ""fascist cabal""Â manipulating coronavirus.		",0,world econom forum fascist cabal â manipul coronaviru
2020-04-05," The contact ban is only for Germans, muslims can still gather and don't have to pay fines in Germany.		",0,the contact ban german muslim still gather pay fine germani
2020-04-05, Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.		,0,coronaviru death toll u s inflat inclus unrel death
2020-04-05," Former NYC Mayor Rudolph Giuliani said he ""bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine""Â in early February.		",0,former nyc mayor rudolph giuliani said bought 2m share novarti primari supplier hydroxychloroquin â earli februari
2020-04-06, Italians pull down EU flags and replacing them with Russian and Chinese flags because of Russia and China helping them fight the coronavirus epidemic.		,0,italian pull eu flag replac russian chines flag russia china help fight coronaviru epidem
2020-04-12," The US $1,200 coronavirus relief checks this year are ""just an advance on your next tax return. ... Next year, you're automatically going to owe $1,200 come tax season.""Â		",0,the us 1 coronaviru relief check year advanc next tax return next year automat go owe 1 come tax season â
2020-04-13," ""The president looks like he was ahead of the curve - as you know, he talks about this all the time - on shutting down travel from China.""Â		",0,the presid look like ahead curv know talk time shut travel china â
2020-04-15, WHO announced that there would be no concerts before the fall of 2021.		,0,who announc would concert fall
2020-04-17," A banner with a swastika, ""Trump""Â and ""Pence""Â is from a Michigan coronavirus protest.		",0,a banner swastika trump â penc â michigan coronaviru protest
2020-04-18," Indian Union State Minister for External Affair, V. Muraleedharan says, ""if the expatriates return, they will threaten the lives of resident Indians.""Â		",0,indian union state minist extern affair v muraleedharan say expatri return threaten life resid indian â
2020-04-21," In India, Kerala High Court orders Kerala government to cease business with controversial data analytics company Sprinklr while hearing a Public interest litigation suite on April 21, 2020.		",0,in india kerala high court order kerala govern ceas busi controversi data analyt compani sprinklr hear public interest litig suit april
2020-04-25, UK dropped Huawei as 5G vendor due to coronavirus fears.		,0,uk drop huawei 5g vendor due coronaviru fear
2020-04-26," WHO warned that the second wave of the pandemic would be ""catastrophic""Â.		",0,who warn second wave pandem would catastroph â
2020-04-28," Walmart, Kroger, Amazon, Target and Costco had no reported cases of coronavirus in the news.		",0,walmart kroger amazon target costco report case coronaviru news
2020-04-29, Japanese schools re-opened then were closed again due to a second wave of coronavirus.		,0,japanes school open close due second wave coronaviru
2020-04-29," Walmart, Amazon, Kroger, Target and Costco ""have not had any reported (coronavirus) cases in the news.""Â		",0,walmart amazon kroger target costco report coronaviru case news â
2020-04-29," Georgia Gov. Brian Kemp ""mandates restaurants reopen""Â.		",0,georgia gov brian kemp mandat restaur reopen â
2020-05-01, China has suddenly dismantled its USD Peg on stock exchanges over imminent launch of sovereign digital currency amid COVID-19.		,0,china suddenli dismantl usd peg stock exchang immin launch sovereign digit currenc amid covid
2020-05-03,"Trump: Medically, we had empty cupboards. The cupboards  I say, the cupboards were empty.",0,trump medic empti cupboard the cupboard i say cupboard empti
2020-05-07, A new danger is coming,0,a new danger come
2020-05-08," ""The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.""Â		",0,the mainstream medium pretend deadli surg covid case thank wisconsinit vote â
2020-05-08," ""The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.""Â		",0,the mainstream medium pretend deadli surg covid case thank wisconsinit vote â
2020-05-09," Under an 1866 Supreme Court ruling, stay-at-home orders are illegal in the United States and can be disregarded with impunity.		",0,under suprem court rule stay home order illeg unit state disregard impun
2020-05-18," Texas and Florida have a ""balanced budget""Â while California is ""in debt $54 billion and New York is ""in debt $6.1 billion.""Â		",0,texa florida balanc budget â california debt billion new york debt 6 1 billion â
2020-05-19, The survival rate for COVID-19 is 98.54% in the UK.		,0,the surviv rate covid uk
2020-06-15," ""If we stopped testing right now, we'd have very few cases, if any.""Â		",0,if stop test right would case â
